Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2010-06-24,9.607142448425291,67.43000030517578,33.599998474121094,128.19000244140625,25.899999618530277,25.0,Thursday,2
2010-06-25,9.524999618530272,68.7699966430664,33.47999954223633,127.12000274658205,25.1299991607666,24.530000686645508,Friday,2
2010-06-28,9.58214282989502,67.30000305175781,33.220001220703125,128.97999572753906,25.540000915527344,24.309999465942383,Monday,2
2010-06-29,9.14892864227295,63.040000915527344,32.29999923706055,125.08999633789062,25.165000915527344,23.309999465942383,Tuesday,2
2010-06-30,8.983214378356934,62.75,31.5,123.4800033569336,25.059999465942383,23.01000022888184,Wednesday,2
2010-07-01,8.874285697937012,62.2599983215332,31.489999771118164,122.56999969482422,25.01499938964844,23.15999984741211,Thursday,3
2010-07-02,8.81928539276123,61.93999862670898,31.3799991607666,121.86000061035156,25.024999618530277,23.270000457763672,Friday,3
2010-07-06,8.879642486572266,61.36000061035156,31.71999931335449,123.45999908447266,25.21500015258789,23.81999969482422,Tuesday,3
2010-07-07,9.238214492797852,63.29999923706055,33.13999938964844,127.0,25.73500061035156,24.299999237060547,Wednesday,3
2010-07-08,9.217499732971191,64.7300033569336,33.34000015258789,127.97000122070312,26.209999084472656,24.40999984741211,Thursday,3
2010-07-09,9.27214241027832,64.66000366210938,33.75,127.95999908447266,26.200000762939453,24.270000457763672,Friday,3
2010-07-12,9.188928604125977,64.33999633789062,33.77000045776367,128.6699981689453,26.225000381469727,24.82999992370605,Monday,3
2010-07-13,8.992856979370117,64.43000030517578,34.45000076293945,130.47999572753906,26.36000061035156,25.1299991607666,Tuesday,3
2010-07-14,9.026071548461914,64.75,34.2400016784668,130.72000122070312,26.40999984741211,25.440000534057617,Wednesday,3
2010-07-15,8.98035717010498,64.37000274658203,34.04999923706055,130.72000122070312,26.424999237060547,25.51000022888184,Thursday,3
2010-07-16,8.925000190734863,61.900001525878906,33.029998779296875,128.02999877929688,26.184999465942383,24.88999938964844,Friday,3
2010-07-19,8.77071475982666,63.18000030517578,33.310001373291016,129.7899932861328,26.13500022888184,25.229999542236328,Monday,3
2010-07-20,8.996071815490723,63.880001068115234,33.400001525878906,126.5500030517578,26.6200008392334,25.479999542236328,Tuesday,3
2010-07-21,9.079999923706056,63.18000030517578,32.810001373291016,125.2699966430664,27.040000915527344,25.1200008392334,Wednesday,3
2010-07-22,9.250714302062988,66.5999984741211,33.59000015258789,127.47000122070312,27.1299991607666,25.84000015258789,Thursday,3
2010-07-23,9.283571243286133,67.93000030517578,34.130001068115234,128.3800048828125,27.375,25.809999465942383,Friday,3
2010-07-26,9.260000228881836,68.8499984741211,34.400001525878906,128.41000366210938,27.46999931335449,26.100000381469727,Monday,3
2010-07-27,9.431428909301758,68.62000274658203,34.279998779296875,128.6300048828125,27.524999618530277,26.15999984741211,Tuesday,3
2010-07-28,9.31999969482422,67.31999969482422,34.040000915527344,128.42999267578125,27.440000534057617,25.950000762939453,Wednesday,3
2010-07-29,9.21821403503418,67.22000122070312,33.709999084472656,128.02000427246094,27.4950008392334,26.030000686645508,Thursday,3
2010-07-30,9.1875,68.13999938964844,33.689998626708984,128.39999389648438,27.55500030517578,25.809999465942383,Friday,3
2010-08-02,9.35178565979004,69.69000244140625,34.47999954223633,130.75999450683594,28.20499992370605,26.32999992370605,Monday,3
2010-08-03,9.354642868041992,69.54000091552734,34.209999084472656,130.3699951171875,28.190000534057617,26.15999984741211,Tuesday,3
2010-08-04,9.39214324951172,69.25,34.83000183105469,131.27000427246094,28.274999618530277,25.729999542236328,Wednesday,3
2010-08-05,9.346428871154783,68.70999908447266,34.97999954223633,131.8300018310547,28.184999465942383,25.3700008392334,Thursday,3
2010-08-06,9.288928985595703,68.69999694824219,35.0,130.13999938964844,28.375,25.549999237060547,Friday,3
2010-08-09,9.348214149475098,68.98999786376953,35.15999984741211,132.0,28.55500030517578,25.61000061035156,Monday,3
2010-08-10,9.264642715454102,68.62000274658203,35.290000915527344,131.83999633789062,28.489999771118164,25.06999969482422,Tuesday,3
2010-08-11,8.935357093811035,65.5999984741211,34.220001220703125,129.8300018310547,28.020000457763672,24.86000061035156,Wednesday,3
2010-08-12,8.992500305175781,64.69999694824219,33.9900016784668,128.3000030517578,27.84499931335449,24.489999771118164,Thursday,3
2010-08-13,8.896428108215332,64.83999633789062,33.68000030517578,127.87000274658205,27.864999771118164,24.399999618530277,Friday,3
2010-08-16,8.84428596496582,64.4000015258789,33.65999984741211,127.7699966430664,27.940000534057617,24.5,Monday,3
2010-08-17,8.998929023742676,65.98999786376953,33.7599983215332,128.4499969482422,28.059999465942383,24.709999084472656,Tuesday,3
2010-08-18,9.038214683532717,66.0,33.90999984741211,129.38999938964844,27.920000076293945,24.81999969482422,Wednesday,3
2010-08-19,8.924285888671875,64.62000274658203,33.189998626708984,128.89999389648438,27.63999938964844,24.440000534057617,Thursday,3
2010-08-20,8.915714263916016,64.5999984741211,33.04999923706055,127.5,27.649999618530277,24.229999542236328,Friday,3
2010-08-23,8.778571128845215,63.29999923706055,32.93000030517578,126.47000122070312,27.799999237060547,24.280000686645508,Monday,3
2010-08-24,8.568928718566895,60.93000030517578,32.13999938964844,124.9000015258789,27.82999992370605,24.040000915527344,Tuesday,3
2010-08-25,8.674642562866211,60.7599983215332,32.11000061035156,125.2699966430664,27.69499969482422,24.100000381469727,Wednesday,3
2010-08-26,8.581428527832031,61.31999969482422,31.940000534057617,122.77999877929688,27.57999992370605,23.81999969482422,Thursday,3
2010-08-27,8.62928581237793,63.15999984741211,32.779998779296875,124.7300033569336,28.07999992370605,23.93000030517578,Friday,3
2010-08-30,8.660714149475098,62.09999847412109,32.349998474121094,123.4000015258789,27.774999618530277,23.63999938964844,Monday,3
2010-08-31,8.682143211364746,61.130001068115234,32.540000915527344,123.12999725341795,27.940000534057617,23.46999931335449,Tuesday,3
2010-09-01,8.940357208251953,62.290000915527344,33.5099983215332,125.7699966430664,28.655000686645508,23.899999618530277,Wednesday,3
2010-09-02,9.006071090698242,63.38999938964844,33.90999984741211,125.04000091552734,28.690000534057617,23.940000534057617,Thursday,3
2010-09-03,9.241786003112791,64.63999938964844,34.66999816894531,127.58000183105467,28.780000686645508,24.290000915527344,Friday,3
2010-09-07,9.207500457763672,63.41999816894531,33.84000015258789,125.9499969482422,28.815000534057617,23.959999084472656,Tuesday,3
2010-09-08,9.390000343322754,64.5,33.84000015258789,126.08000183105467,28.915000915527344,23.93000030517578,Wednesday,3
